feature,total,total_diff
f101_active_AMT_CREDIT-m-app_AMT_GOODS_PRICE-d-app_AMT_INCOME_TOTAL_max-d-min,21920.0,56.0
f205_CNT_INSTALMENT_FUTURE-d-CNT_INSTALMENT_mean,21919.0,133.0
f707_14,21916.0,24.0
f501_DAYS_CREDIT-m-app_DAYS_BIRTH_min,21916.0,116.0
f308_cons_DAYS_INSTALMENT_pctchange_var,21913.0,25.0
f201_CNT_INSTALMENT-m-CNT_INSTALMENT_FUTURE_std-d-mean,21910.0,54.0
f509_DAYS_CREDIT_UPDATE,21909.0,5.0
f110_nyg-middle_nyg-middle_PRODUCT_COMBINATION_POS-industry-with-interest_mean_mean,21906.0,12.0
f101_refused_AMT_CREDIT-d-total_debt_mean,21902.0,86.0
f501_DAYS_CREDIT_UPDATE-m-DAYS_CREDIT_mean,21900.0,142.0
f001_DAYS_REGISTRATION-m-DAYS_BIRTH-d-DAYS_LAST_PHONE_CHANGE-m-DAYS_ID_PUBLISH,21898.0,32.0
f505_Active_AMT_CREDIT_SUM-d-app_AMT_INCOME_TOTAL_sum,21898.0,0.0
f001_DAYS_REGISTRATION-m-DAYS_BIRTH-d-DAYS_ID_PUBLISH-m-DAYS_EMPLOYED,21895.0,21.0
f501_AMT_CREDIT_SUM-m-AMT_CREDIT_SUM_DEBT_diff_mean,21885.0,23.0
f501_AMT_CREDIT_SUM-m-AMT_CREDIT_SUM_DEBT_pctchange_max-d-min,21885.0,89.0
f301_delay_DAYS_ENTRY_PAYMENT_max,21884.0,58.0
f509_DAYS_CREDIT_UPDATE_diff,21882.0,62.0
f101_approved_NAME_TYPE_SUITE_Unaccompanied_mean,21882.0,74.0
f108_AMT_ANNUITY-m-app_AMT_INCOME_TOTAL,21882.0,8.0
f305_con_AMT_PAYMENT-d-app_AMT_CREDIT_mean,21874.0,110.0
f312_days_weighted_delay_diff_sum,21872.0,64.0
f501_DAYS_CREDIT_ENDDATE-m-DAYS_CREDIT_std-d-mean,21871.0,57.0
f201_CNT_INSTALMENT-m-CNT_INSTALMENT_FUTURE_mean,21870.0,40.0
f509_AMT_CREDIT_SUM_DEBT-d-AMT_CREDIT_SUM_diff,21869.0,47.0
f101_approved_AMT_GOODS_PRICE-d-AMT_CREDIT_diff_mean,21868.0,8.0
f301_delay_DAYS_ENTRY_PAYMENT-m-app_DAYS_BIRTH_min,21868.0,100.0
f301_delay_DAYS_ENTRY_PAYMENT_sum,21868.0,10.0
f001_AMT_REQ_CREDIT_BUREAU_QRT,21860.0,36.0
f505_Active_DAYS_CREDIT-d-app_DAYS_LAST_PHONE_CHANGE_min,21858.0,124.0
f507_Active_AMT_CREDIT_SUM_sum,21851.0,59.0
f313_days_delayed_payment_pctchange_var,21848.0,146.0
f707_20,21848.0,52.0
f101_completed_AMT_APPLICATION-m-app_AMT_ANNUITY-d-app_AMT_INCOME_TOTAL_std-d-mean,21843.0,91.0
f001_NEW_CAR_TO_EMPLOY_RATIO,21837.0,113.0
f501_AMT_CREDIT_SUM-d-app_AMT_ANNUITY_pctchange_max-d-min,21836.0,48.0
f501_DAYS_CREDIT_UPDATE_pctchange_max,21836.0,88.0
f305_notdelay_con_days_weighted_delay_mean,21829.0,29.0
f509_AMT_CREDIT_SUM_DEBT-p-AMT_CREDIT_SUM_LIMIT,21827.0,105.0
f101_approved_cnt_paid_std-d-mean,21827.0,199.0
f505_Active_AMT_CREDIT_SUM_LIMIT-d-app_AMT_CREDIT_mean,21826.0,34.0
f101_nyg-middle_AMT_CREDIT-d-total_debt_mean,21826.0,140.0
f501_DAYS_CREDIT-d-app_DAYS_EMPLOYED_min,21825.0,237.0
f104_active_AMT_APPLICATION-m-app_AMT_GOODS_PRICE_max,21819.0,37.0
f509_DAYS_CREDIT_ENDDATE-m-app_DAYS_BIRTH,21815.0,143.0
f308_cons_days_delayed_payment_pctchange_var,21814.0,26.0
f108_WEEKDAY_APPR_PROCESS_START,21809.0,29.0
f202_CNT_INSTALMENT_FUTURE-d-CNT_INSTALMENT_mean,21807.0,85.0
f501_DAYS_CREDIT-m-app_DAYS_BIRTH_mean,21802.0,196.0
f101_active_AMT_CREDIT-d-total_debt_min,21801.0,31.0
f310_notdelay_AMT_PAYMENT_mean,21797.0,155.0
f707_5,21797.0,187.0
f001_DAYS_ID_PUBLISH-m-DAYS_BIRTH-d-DAYS_ID_PUBLISH-m-DAYS_REGISTRATION,21791.0,57.0
f505_Closed_DAYS_CREDIT_UPDATE-m-DAYS_CREDIT_min,21790.0,112.0
f505_Closed_DAYS_CREDIT_UPDATE_pctchange_max,21788.0,50.0
f308_cas_DAYS_INSTALMENT_pctchange_min,21788.0,90.0
f509_DAYS_CREDIT_ENDDATE-m-app_DAYS_ID_PUBLISH,21787.0,45.0
f331_notdelay_DAYS_ENTRY_PAYMENT-m-app_DAYS_REGISTRATION_std-d-mean,21787.0,81.0
